name,level,type,city,district,address,longitude,latitude
高雄市私立馨迦居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區新富路276號4樓,120.3415451,22.61265564
社團法人高雄市活泉愛鄰社區服務協會,B,交通接送服務,高雄市,鳳山區,高雄市鳳山區誠義里誠東街1號,120.3625031,22.61109924
高雄市關懷婦幼協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區中正里中正里瑞興路422巷63之1號,120.370369,22.63009453
社團法人高雄市愛智家園社區關懷協會,B,喘息服務,高雄市,鳳山區,高雄市鳳山區鳳崗里鳳崗路鳳崗路31巷35之1號,120.3454895,22.64699936
高雄市鳳山區協和社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區協和里五權南路231號,120.3528824,22.62412071
社團法人高雄市愛智家園社區關懷協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區鳳崗里鳳崗路鳳崗路31巷35之1號,120.3454895,22.64699936
中華民國紅十字會新高雄分會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區新興里大東一路10巷38號,120.3616028,22.62401009
台灣寬霖關懷協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區老爺里興隆街42號,120.3436432,22.60553169
高雄市鳳山區新海光社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區埤頂里勝利路22號,120.3747406,22.63298607
高雄市私立森宏居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區仁愛路20號,120.3730011,22.62314415
財團法人高雄市私立萃文書院社會福利慈善事業基金會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區平等路174號,120.3511505,22.62039757
社團法人高雄市愛智家園社區關懷協會,B,交通接送服務,高雄市,鳳山區,高雄市鳳山區鳳崗里鳳崗路鳳崗路31巷35之1號,120.3454895,22.64699936
高雄市照服員成長關懷協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區文華里文化路53號,120.3561325,22.63361931
社團法人高雄市關懷台灣協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區國隆里南京路330巷7號,120.3463058,22.61690903
高雄市私立馨迦居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區新富路276號4樓,120.3415451,22.61265564
高雄汽車客運股份有限公司,B,交通接送服務,高雄市,鳳山區,高雄市鳳山區中山路138號,120.3572617,22.62419319
高雄市私立力嫻居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區工協街39號1樓,120.3719788,22.62976265
高雄市私立森宏居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區仁愛路20號,120.3730011,22.62314415
社團法人高雄市長期照顧人員福利促進協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區中和里信義街303號,120.3480988,22.62695122
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區八德路159號1樓,120.3592834,22.63778877
中華民國紅十字會新高雄分會附設私立紅十字居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區維新路122號10樓,120.3610687,22.6245327
有限責任高雄市協和照顧服務勞動合作社附設高雄市私立協和居家式服務類長期照顧服務機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區信義街50號,120.3547287,22.62736893
高雄市私立力嫻居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區工協街39號1樓,120.3719788,22.62976265
高雄市鳳山區忠孝社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區忠孝里光復路1段162巷26號,120.3498688,22.63008308
高雄市私立藏德居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區武營路176號,120.3377151,22.60989189
社團法人高雄市八方義行團關懷協會私立八方居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區中山東路58巷32號,120.3701706,22.6228714
高雄市鳳山區二○五社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區福誠里瑞春街8號,120.3227463,22.59574318
社團法人高雄長期照顧人員福利促進協會附設高雄市私立長促居家式服務類長期照顧服務機構,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區信義街303號1樓,120.3480988,22.62695122
高雄市常健照顧協會私立常健社區,B,日間照顧服務,高雄市,鳳山區,高雄市鳳山區自由路164號7樓,120.3500824,22.62568855
社團法人台灣照顧服務人力管理協會附設高雄市私立福愛園居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區自治街75巷11號1樓,120.3516235,22.6232872
高雄市私立千葉老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區姑山里姑山路19之1號,120.434906,22.70574188
高雄市私立新樂園老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區姑山里姑山路19之2號,120.434906,22.70574188
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立大樹社區式,B,喘息服務,高雄市,大樹區,高雄市大樹區久堂里久堂路128號2樓,120.41819,22.65807343
社團法人高雄市大樹長青會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區檨腳里實踐街98號,120.4315643,22.68984222
社團法人高雄市大樹長青會,B,營養餐飲服務,高雄市,大樹區,高雄市大樹區檨腳里實踐街98號,120.4315643,22.68984222
高雄市大樹區檨腳社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區檨腳里中興南路1巷46號,120.4341812,22.68932915
高雄市私立欣家老人長期照顧中心,B,喘息服務,高雄市,大樹區,高雄市大樹區中山路26號,120.4109116,22.66292763
高雄市原住民關懷協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區九曲里九曲路498號,120.4233398,22.6558857
高雄市大樹區大坑社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區大坑里大坑路188號,120.4443893,22.71333313
財團法人高雄市華仁社會福利慈善事業基金會附設高雄市私立大樹社區式,B,日間照顧服務,高雄市,大樹區,高雄市大樹區久堂里久堂路128號2樓,120.41819,22.65807343
高雄市大樹區統嶺社區發展協會,C,巷弄長照站,高雄市,大樹區,高雄市大樹區統嶺里統嶺路91-9號,120.4477844,22.77159119
高雄市大樹區統嶺社區發展協會,B,營養餐飲服務,高雄市,大樹區,高雄市大樹區統嶺里統嶺路91-9號,120.4477844,22.77159119
建佑醫院,B,專業照護服務,高雄市,林園區,高雄市林園區東林西路360號,120.3866806,22.50382042
慈佑護理之家,B,喘息服務,高雄市,林園區,高雄市林園區沿海路四段72.74號,120.3851624,22.50103378
高雄市林園區文賢社區發展協會,B,營養餐飲服務,高雄市,林園區,高雄市林園區文賢里文賢南路105巷1之5號,120.3935852,22.50181198
建佑醫院附設居家護理所,B,專業照護服務,高雄市,林園區,高雄市林園區東林西路364巷10之1號3樓,120.3865814,22.50435066
建佑醫院,A,個案管理服務,高雄市,林園區,高雄市林園區東林西路360號,120.3866806,22.50382042
高雄市林園區文賢社區發展協會,C,巷弄長照站,高雄市,林園區,高雄市林園區文賢里文賢南路105巷1之5號,120.3935852,22.50181198
臨居居家職能治療所,B,專業照護服務,高雄市,林園區,高雄市林園區林內路70巷90-1號1樓,120.3990555,22.53281403
高雄市原住民關懷協會,C,巷弄長照站,高雄市,林園區,高雄市林園區中厝里三官路14號,120.3981323,22.52971649
高雄市私立建佑社區,B,喘息服務,高雄市,林園區,高雄市林園區沿海路四段356號1樓,120.3759766,22.5046196
財團法人獎卿護理展望基金會,B,營養餐飲服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085
社團法人高雄市基督教家庭服務協會,B,營養餐飲服務,高雄市,前金區,高雄市前金區長生里中華三路23號,120.2976837,22.62404633
財團法人獎卿護理展望基金會大高雄居家護理所,B,專業照護服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085
高雄市立大同醫院,A,個案管理服務,高雄市,前金區,高雄市前金區復元里中華三路68號,120.2974014,22.62735939
財團法人獎卿護理展望基金會,A,個案管理服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立到咖手居家式服務類長期照顧服務機構,B,喘息服務,高雄市,前金區,高雄市前金區國民里大同二路145號10樓之6,120.2901764,22.62522316
財團法人弘道老人福利基金會,B,營養餐飲服務,高雄市,前金區,高雄市前金區東金里文武一街65號,120.293808,22.63116264
有限責任高雄市滿緣照顧服務勞動合作社附設高雄市私立滿緣居家式服務類長期照顧服務機構,B,專業照護服務,高雄市,前金區,高雄市前金區東金里永恆街18號,120.2942886,22.62966156
高雄市立大同醫院附設居家護理所,B,專業照護服務,高雄市,前金區,高雄市前金區復元里中華三路68號9樓,120.2974014,22.62735939
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立到咖手居家式服務類長期照顧服務機構,B,專業照護服務,高雄市,前金區,高雄市前金區國民里大同二路145號10樓之6,120.2901764,22.62522316
財團法人獎卿護理展望基金會護理之家,B,喘息服務,高雄市,前金區,高雄市前金區七賢二路371號,120.28862,22.63054085
有限責任高雄市愛齡照護服務勞動合作社,C,巷弄長照站,高雄市,前金區,高雄市前金區國民里大同二路145號,120.2901764,22.62522316
社團法人台灣百香果創齡協會,C,巷弄長照站,高雄市,前金區,高雄市前金區長生里中華三路7號,120.2981033,22.62294006
財團法人弘道老人福利基金會,C,巷弄長照站,高雄市,前金區,高雄市前金區東金里文武一街65號,120.293808,22.63116264
高雄市立大同醫院,B,專業照護服務,高雄市,前金區,高雄市前金區復元里中華三路68號,120.2972031,22.62698936
有限責任高雄市滿緣照顧服務勞動合作社附設高雄市私立滿緣居家式服務類長期照顧服務機構,B,居家服務,高雄市,前金區,高雄市前金區東金里永恆街18號,120.2942886,22.62966156
高雄市立中醫醫院,C,巷弄長照站,高雄市,前金區,高雄市前金區中華三路68號1-4樓部分樓層(新盛街入口),120.2974029,22.6273601
商周企業管理顧問股份有限公司附設高雄市私立金牌居家長照機構,B,喘息服務,高雄市,前金區,高雄市前金區文東里中山二路507號8樓,120.3016968,22.62036133
商周企業管理顧問股份有限公司附設高雄市私立金牌居家長照機構,B,居家服務,高雄市,前金區,高雄市前金區文東里中山二路507號8樓,120.3016968,22.62036133
高雄市立大同醫院,C,巷弄長照站,高雄市,前金區,高雄市前金區復元里中華三路68號,120.2972031,22.62698936
有限責任高雄市愛齡照護服務勞動合作社附設高雄市私立到咖手居家式服務類長期照顧服務機構,B,居家服務,高雄市,前金區,高雄市前金區國民里大同二路145號10樓之6,120.2901764,22.62522316
私立康能護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延正里延正路10之3號,120.6990356,23.78234291
竹山秀傳醫院附設居家護理所,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
竹山秀傳醫院,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
私立淨元護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮社寮里田中巷47-5號,120.7244186,23.81746292
南投縣私立中山社區式長期照顧服務機構,B,家庭托顧服務,南投縣,竹山鎮,南投縣竹山鎮中山里新生路160巷10號,120.6750946,23.75340652
社團法人南投縣新媳婦關懷協會附設南投縣私立好媳婦居家式長期照顧服務機構,A,個案管理服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992
南投縣私立同心居老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里大仁路199巷2號,120.6728973,23.75732422
竹山秀傳醫院,A,個案管理服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
東華醫院附設南投縣私立東華居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮延祥里集山路三段272巷16號,120.7002716,23.76437569
東華醫院附設護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮集山路3段272巷16號4-5樓,120.7000351,23.7642498
竹山秀傳醫院附設護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮集山路二段75號,120.7139587,23.80016518
社團法人南投縣社區家庭支援協會附設南投縣私立迦南居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮桂林里中山路1之61號,120.6957855,23.74672508
私立博愛護理之家,B,日間照顧服務,南投縣,竹山鎮,南投縣竹山鎮延正里江西路27號,120.7044144,23.78141212
竹山秀傳醫院附設南投縣私立秀傳居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.7139587,23.80016518
社團法人南投縣新媳婦關懷協會附設南投縣私立好媳婦居家式長期照顧服務機構,B,居家服務,南投縣,竹山鎮,南投縣竹山鎮山崇里集山路二段75號,120.714119,23.80014992
南投縣私立億安老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮延和里大和街258號,120.6936417,23.76384354
南投縣私立慈愛老人養護中心,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里大勇路21號,120.6745911,23.75741959
社團法人南投縣社區家庭支援協會,B,交通接送服務,南投縣,竹山鎮,南投縣竹山鎮桂林里中山路1之61號,120.6957855,23.74672508
聖恩護理之家,B,喘息服務,南投縣,竹山鎮,南投縣竹山鎮雲林里埔頭街76號,120.6791763,23.7553215
南投縣竹山鎮桶頭社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮桶頭里鯉南路349號,120.6559448,23.644207
上善居家物理治療所,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮大仁路46號,120.6763,23.75536728
南投縣竹山鎮延正社區發展協會,C,巷弄長照站,南投縣,竹山鎮,南投縣竹山鎮延正里延正路70號 (護天宮旁),120.6981583,23.77306747
私立博愛護理之家,B,專業照護服務,南投縣,竹山鎮,南投縣竹山鎮延正里江西路27號,120.7044144,23.78141212
