name,type,city,district,address,longitude,latitude,capacity,evaluate_year,evaluation_type,evaluation_result,rating_amount,rating_score,rating_average,google
國立中央大學附設桃園市私立幼兒園,私立,桃園市,中壢區,桃園市中壢區中大新村26號1樓,121.1918807,24.9659845,85,102學年度,基礎評鑑,全數指標通過基礎評鑑,19,48,2.526315789,3.2
桃園市私立全球幼兒園,私立,桃園市,中壢區,桃園市中壢區龍福路163巷19號,121.2528052,24.9341751,90,105學年度,基礎評鑑,全數指標通過基礎評鑑,43,202,4.697674419,3.8
桃園市私立小草幼兒園,私立,桃園市,中壢區,桃園市中壢區中山東路三段427號1-2樓,121.253178,24.939151,80,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,23,115,5,2.5
桃園市私立星球幼兒園,私立,桃園市,中壢區,桃園市中壢區榮民南路192、196、196-1號,121.2560367,24.9530759,240,105學年度,基礎評鑑,全數指標通過基礎評鑑,41,180,4.390243902,3.1
桃園市私立立人幼兒園,私立,桃園市,中壢區,桃園市中壢區後寮二路142號,121.2499769,24.938488,60,105學年度,追蹤評鑑,部分指標通過追蹤評鑑,10,43,4.3,2.6
桃園市私立何智仁幼兒園,私立,桃園市,中壢區,桃園市中壢區內定20街205巷2號,121.2324035,25.005924,90,105學年度,基礎評鑑,全數指標通過基礎評鑑,3,7,2.333333333,3.9
桃園市私立新自強種子幼兒園,私立,桃園市,中壢區,桃園市中壢區強國路11巷1號1-2樓、3號1-2樓、5號2樓,121.2601108,24.9671025,90,104學年度,追蹤評鑑,全數指標通過追蹤評鑑,20,84,4.2,3.7
桃園市私立愛比幼兒園,私立,桃園市,中壢區,桃園市中壢區中大路55號1-3樓,121.2011881,24.9680721,257,105學年度,基礎評鑑,全數指標通過基礎評鑑,6,22,3.666666667,3.4
桃園市私立禾碩幼兒園,私立,桃園市,中壢區,桃園市中壢區南園二路97號1-2樓,121.2333232,24.9715946,50,無評鑑資料,無評鑑資料,無評鑑資料,41,205,5,3.8
桃園市私立親子學園幼兒園,私立,桃園市,中壢區,桃園市中壢區福德路116號1-2樓,121.25789,24.975749,63,105學年度,基礎評鑑,全數指標通過基礎評鑑,41,103,2.512195122,4.4
桃園市私立洛德蒙特梭利幼兒園,私立,桃園市,中壢區,桃園市中壢區白馬莊117號1樓,121.204587,24.956431,30,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,22,110,5,3.5
桃園市私立婕瑪幼兒園,私立,桃園市,中壢區,桃園市中壢區福星六街70號1-2樓,121.2322042,24.9665746,60,105學年度,基礎評鑑,全數指標通過基礎評鑑,13,27,2.076923077,3.2
桃園市私立興國幼兒園,私立,桃園市,中壢區,桃園市中壢區新生路三段245號1樓至3樓,121.2213267,24.9924596,300,105學年度,基礎評鑑,全數指標通過基礎評鑑,14,50,3.571428571,4
桃園市私立崇皓幼兒園,私立,桃園市,中壢區,桃園市中壢區中大路150巷123、125、127號,121.1995861,24.9690005,360,105學年度,基礎評鑑,全數指標通過基礎評鑑,44,194,4.409090909,3.7
