name,type,city,district,address,longitude,latitude,capacity
屏東縣私立大同幼兒園,私立,屏東縣,屏東市,屏東縣私立大同幼兒園 [900]大同北路71號,120.4747495,22.6805936,150
屏東縣私立小樹苗幼兒園,私立,屏東縣,屏東市,屏東縣私立小樹苗幼兒園 [900]廣東路802巷48號,120.4923945,22.6911553,82
屏東縣私立正心幼兒園,私立,屏東縣,屏東市,屏東縣私立正心幼兒園 [900]棒球路59巷33號,120.481912,22.655021,50
屏東縣私立愛彌兒幼兒園,私立,屏東縣,屏東市,屏東縣私立愛彌兒幼兒園 [900]武立街26號,120.475379,22.658338,120
屏東縣私立中華兒童幼兒園,私立,屏東縣,屏東市,屏東縣私立中華兒童幼兒園 [900]機場北路288號,120.4715135,22.6824689,180
財團法人天主教玫瑰道明傳教修女會附設屏東縣私立道明幼兒園,私立,屏東縣,屏東市,財團法人天主教玫瑰道明傳教修女會附設屏東縣私立道明幼兒園 [900]信義路159號,120.4884094,22.6791041,180
屏東縣私立龍華幼兒園,私立,屏東縣,屏東市,屏東縣私立龍華幼兒園 [900]公成路53號,120.4842587,22.6395862,85
財團法人屏東縣私立屏東友緣幼兒園,私立,屏東縣,屏東市,財團法人屏東縣私立屏東友緣幼兒園 [900]棒球路93號,120.4806374,22.6558318,160
屏東縣私立美金才藝幼兒園,私立,屏東縣,屏東市,屏東縣私立美金才藝幼兒園 [900]信義路141-2號,120.4878508,22.6749491,150
屏東縣私立上以唐幼兒園,私立,屏東縣,屏東市,屏東縣私立上以唐幼兒園 [900]武愛街88巷4號,120.4784824,22.6576359,150
屏東縣私立常春藤幼兒園,私立,屏東縣,屏東市,屏東縣私立常春藤幼兒園 [900]華正路220號,120.4986465,22.6852682,210
屏東縣私立培華幼兒園,私立,屏東縣,屏東市,屏東縣私立培華幼兒園 [900]龍華路146巷6號,120.482621,22.636353,130
屏東縣私立學正幼兒園,私立,屏東縣,屏東市,屏東縣私立學正幼兒園 [900]建豊路84巷8號,120.507762,22.675753,180
屏東縣私立文化學苑幼兒園,私立,屏東縣,屏東市,屏東縣私立文化學苑幼兒園 [900]忠信二十六號,120.508138,22.701081,60
屏東縣私立美加幼兒園,私立,屏東縣,屏東市,屏東縣私立美加幼兒園 [900]武威街170巷6號,120.473931,22.657818,100
屏東縣私立艾樂芬幼兒園,私立,屏東縣,屏東市,屏東縣私立艾樂芬幼兒園 [900]廣東路1153號,120.4774029,22.6851144,120
屏東縣私立佳佳幼兒園,私立,屏東縣,屏東市,屏東縣私立佳佳幼兒園 [900]復興南路一段35巷12號,120.486798,22.654501,67
屏東縣私立快樂幼兒園,私立,屏東縣,屏東市,屏東縣私立快樂幼兒園 [900]仁愛路175號,120.4976008,22.6829708,60
屏東縣私立威利幼兒園,私立,屏東縣,屏東市,屏東縣私立威利幼兒園 [900]華一街43號,120.5006072,22.6835702,99
屏東縣私立龍幼幼兒園,私立,屏東縣,屏東市,屏東縣私立龍幼幼兒園 [900]仁愛路199巷5號,120.4976083,22.6832815,185
屏東縣私立華山幼兒園,私立,屏東縣,屏東市,屏東縣私立華山幼兒園 [900]華正路99號,120.5012499,22.686287,90
屏東縣私立愛麗幼兒園,私立,屏東縣,屏東市,屏東縣私立愛麗幼兒園 [900]信義路120之3號,120.4887188,22.6766051,30
財團法人福智文教基金會附設屏東縣私立妙慧幼兒園,私立,屏東縣,屏東市,財團法人福智文教基金會附設屏東縣私立妙慧幼兒園 [900]莊敬街2段100巷41號,120.5025525,22.6899221,65
屏東縣私立維多莉亞幼兒園,私立,屏東縣,屏東市,屏東縣私立維多莉亞幼兒園 [900]廣東路1432號,120.4774666,22.6855017,150
屏東縣私立福爾摩沙幼兒園,私立,屏東縣,屏東市,屏東縣私立福爾摩沙幼兒園 [900]林森路東二段72號,120.5053257,22.6699294,100
屏東縣私立千葉幼兒園,私立,屏東縣,屏東市,屏東縣私立千葉幼兒園 [900]廣東路1085號,120.4790394,22.6868114,80
屏東縣私立快樂寶貝幼兒園,私立,屏東縣,屏東市,屏東縣私立快樂寶貝幼兒園 [900]順寶巷7號1、2樓,120.5487597,22.5519759,34
屏榮學校財團法人屏東縣屏榮高級中學附設私立屏榮幼兒園,私立,屏東縣,屏東市,屏榮學校財團法人屏東縣屏榮高級中學附設私立屏榮幼兒園 [900]水源街100號,120.5028681,22.6732798,430
屏東縣私立屏東培正幼兒園,私立,屏東縣,屏東市,屏東縣私立屏東培正幼兒園 [900]林森路東五段17-2號、東三段二巷16、18號,120.5084032,22.6711634,305
屏東縣私立育才幼兒園,私立,屏東縣,屏東市,屏東縣私立育才幼兒園 [900]廣東路1131號,120.4778899,22.6855949,137
屏東縣屏東復興非營利幼兒園(委託財團法人彭婉如文教基金會辦理),非營利,屏東縣,屏東市,屏東縣屏東復興非營利幼兒園(委託財團法人彭婉如文教基金會辦理) [900]復興路376號,120.4857563,22.6594381,106
社團法人中華幼兒教育改革研究會附設屏東縣私立海豐非營利幼兒園(屏東縣政府委託辦理),非營利,屏東縣,屏東市,社團法人中華幼兒教育改革研究會附設屏東縣私立海豐非營利幼兒園(屏東縣政府委託辦理) [900]海豐街3號,120.506802,22.698809,120
財團法人福智文教基金會附設屏東縣私立瑞光非營利幼兒園(屏東縣政府委託辦理),非營利,屏東縣,屏東市,財團法人福智文教基金會附設屏東縣私立瑞光非營利幼兒園(屏東縣政府委託辦理) [900]興豐路86號,120.509115,22.680745,106
屏東縣歸來非營利幼兒園(委託社團法人東台灣幼兒教保專業促進協會辦理),非營利,屏東縣,屏東市,屏東縣歸來非營利幼兒園(委託社團法人東台灣幼兒教保專業促進協會辦理) [900]歸國巷1號,120.5062725,22.6584612,76
屏東縣信義非營利幼兒園(委託財團法人大仁科技大學設立之大仁科技大學辦理),非營利,屏東縣,屏東市,屏東縣信義非營利幼兒園(委託財團法人大仁科技大學設立之大仁科技大學辦理) [900]信義路262號,120.542329,22.726916,60
屏東縣三地門鄉青山國民小學附設幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉青山國民小學附設幼兒園 [901]民族巷9號,120.6408615,22.8175506,30
屏東縣三地門鄉賽嘉國民小學附設幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉賽嘉國民小學附設幼兒園 [901]2號,120.640063,22.743915,15
屏東縣三地門鄉口社國民小學附設幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉口社國民小學附設幼兒園 [901]信義巷65號,120.6445917,22.7661628,15
屏東縣三地門鄉地磨兒國民小學附設幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉地磨兒國民小學附設幼兒園 [901]行政街9號,120.654127,22.7151403,45
屏東縣三地門鄉地磨兒國民小學附設幼兒園德文分班,公立,屏東縣,三地門鄉,屏東縣三地門鄉地磨兒國民小學附設幼兒園德文分班 [901]4號,120.654127,22.7151403,15
屏東縣三地門鄉青葉國民小學附設幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉青葉國民小學附設幼兒園 [901]光復巷1-2號,120.6390228,22.8380165,15
屏東縣三地門鄉立幼兒園,公立,屏東縣,三地門鄉,屏東縣三地門鄉立幼兒園 [901]賽嘉巷43號,120.6541301,22.7162015,19
屏東縣三地門鄉立幼兒園口社分班,公立,屏東縣,三地門鄉,屏東縣三地門鄉立幼兒園口社分班 [901]18號,120.647139,22.768345,15
屏東縣三地門鄉立幼兒園青山分班,公立,屏東縣,三地門鄉,屏東縣三地門鄉立幼兒園青山分班 [901]民族巷60-5號,120.640342,22.816531,17
屏東縣三地門鄉立幼兒園青葉分班,公立,屏東縣,三地門鄉,屏東縣三地門鄉立幼兒園青葉分班 [901]光復巷65-2號,120.6390228,22.8380165,15
屏東縣私立原苗幼兒園,私立,屏東縣,三地門鄉,屏東縣私立原苗幼兒園 [901]中正路二段29巷35號,120.6509345,22.7159851,34
屏東縣三地門鄉馬兒社區互助教保服務中心(三地門鄉馬兒社區發展協會),私立,屏東縣,三地門鄉,屏東縣三地門鄉馬兒社區互助教保服務中心(三地門鄉馬兒社區發展協會) [901]馬兒巷2號,120.6304931,22.7879869,20
屏東縣霧臺鄉霧臺國民小學附設幼兒園,公立,屏東縣,霧臺鄉,屏東縣霧臺鄉霧臺國民小學附設幼兒園 [902]文化街200號,120.731317,22.744821,38
屏東縣霧臺鄉霧臺國民小學附設幼兒園霧臺分班,公立,屏東縣,霧臺鄉,屏東縣霧臺鄉霧臺國民小學附設幼兒園霧臺分班 [902]中山巷44號,120.731317,22.744821,20
屏東縣瑪家鄉佳義國民小學附設幼兒園,公立,屏東縣,瑪家鄉,屏東縣瑪家鄉佳義國民小學附設幼兒園 [903]27號,120.637503,22.6899048,68
